timestamp,usage
2018-12-23,6344
2018-12-24,6944
2018-12-25,6409
2018-12-26,4889
2018-12-27,8879
2018-12-28,8029
2018-12-29,8233
2018-12-30,6978
2018-12-31,8043
2019-01-01,7879
2019-01-03,12076
2019-01-04,9567
2019-01-05,9603
2019-01-06,8504
2019-01-07,7766
2019-01-08,10240
2019-01-09,9711
2019-01-10,10026
2019-01-11,8465
2019-01-12,8522
2019-01-13,7569
2019-01-14,7370
2019-01-15,9798
2019-01-16,9591
2019-01-17,9846
2019-01-18,8471
2019-01-19,7796
2019-01-20,8529
2019-01-21,7136
2019-01-22,7072
2019-01-23,9387
2019-01-24,9870
2019-01-25,8112
2019-01-26,9362
2019-01-27,8967
2019-01-28,7683
2019-01-29,10233
2019-01-30,9953
2019-01-31,9820
2019-02-01,8180
2019-02-02,8591
2019-02-03,8436
2019-02-04,6529
2019-02-05,10084
2019-02-06,9352
2019-02-07,10053
2019-02-08,8438
2019-02-09,7975
2019-02-10,8355
2019-02-11,7394
2019-02-12,10003
2019-02-13,9375
2019-02-14,9697
2019-02-15,8130
2019-02-16,8094
2019-02-17,9905
2019-02-18,7111
2019-02-19,7046
2019-02-20,10194
2019-02-21,9909
2019-02-22,8399
2019-02-23,8735
2019-02-24,8779
2019-02-25,7735
2019-02-26,10094
2019-02-27,10098
2019-02-28,9968
2019-03-01,8209
2019-03-02,9025
2019-03-03,8607
2019-03-04,7456
2019-03-05,7769
2019-03-06,11024
2019-03-07,10618
2019-03-08,9263
2019-03-09,8662
2019-03-10,9911
2019-03-11,7786
2019-03-12,11024
2019-03-13,10420
2019-03-14,10272
2019-03-15,9463
2019-03-16,9048
2019-03-17,8837
2019-03-18,7774
2019-03-19,10790
2019-03-20,10951
2019-03-21,10475
2019-03-22,9209
2019-03-23,8730
2019-03-24,9087
2019-03-25,7673
2019-03-26,10956
2019-03-27,10598
2019-03-28,10714
2019-03-29,9049
2019-03-30,9492
2019-03-31,9029
2019-04-01,8094
2019-04-02,11109
2019-04-03,10604
2019-04-04,10690
2019-04-05,9062
2019-04-06,9210
2019-04-07,8559
2019-04-08,7568
2019-04-09,10436
2019-04-10,10184
2019-04-11,10303
2019-04-12,8618
2019-04-13,8220
2019-04-14,9441
2019-04-15,5592
2019-04-16,7533
2019-04-17,10950
2019-04-18,10078
2019-04-19,8423
2019-04-20,8915
2019-04-21,8432
2019-04-22,6528
2019-04-23,10406
2019-04-24,10444
2019-04-25,10215
2019-04-26,8870
2019-04-27,8746
2019-04-28,8885
2019-04-29,7646
2019-04-30,10515
2019-05-01,10414
2019-05-02,10178
2019-05-03,8794
2019-05-04,8240
2019-05-05,8993
2019-05-06,7603
2019-05-07,10246
2019-05-08,10101
2019-05-09,9906
2019-05-10,8664
2019-05-11,9025
2019-05-12,8072
2019-05-13,6997
2019-05-14,10558
2019-05-15,10155
2019-05-16,10243
2019-05-17,8965
2019-05-18,9006
2019-05-19,7995
2019-05-20,7171
2019-05-21,10620
2019-05-22,10411
2019-05-23,10325
2019-05-24,8949
2019-05-25,7370
2019-05-28,884
2019-05-29,10431
2019-05-30,10695
2019-05-31,9104
2019-06-01,9044
2019-06-02,8728
2019-06-03,7814
2019-06-04,10527
2019-06-05,9838
2019-06-06,10066
2019-06-07,8922
2019-06-08,8869
2019-06-09,8050
2019-06-10,6947
2019-06-11,10557
2019-06-12,10267
2019-06-13,9734
2019-06-14,8915
2019-06-15,8473
2019-06-16,8537
2019-06-17,7449
2019-06-18,10423
2019-06-20,10354
2019-06-21,9346
2019-06-22,9556
2019-06-23,8404
2019-06-24,7450
2019-06-25,10807
2019-06-26,10635
2019-06-27,10605
2019-06-28,9189
2019-06-29,9230
2019-06-30,8706
2019-07-01,7965
2019-07-02,9951
2019-07-03,11223
2019-07-04,9931
2019-07-05,4973
2019-07-06,8696
2019-07-07,8722
2019-07-08,8154
2019-07-09,11143
2019-07-10,10817
2019-07-11,10386
2019-07-12,9171
2019-07-13,9667
2019-07-14,9038
2019-07-15,7927
2019-07-16,11033
2019-07-17,10520
2019-07-18,10220
2019-07-19,9347
2019-07-20,9469
2019-07-21,8687
2019-07-22,8125
2019-07-23,10267
2019-07-24,10868
2019-07-25,10354
2019-07-26,9303
2019-07-27,9916
2019-07-28,8540
2019-07-29,8116
2019-07-30,11242
2019-07-31,10802
2019-08-01,10267
2019-08-02,9705
2019-08-03,9609
2019-08-04,8977
2019-08-05,7897
2019-08-06,11162
2019-08-07,10550
2019-08-08,10403
2019-08-09,9329
2019-08-10,9728
2019-08-11,9029
2019-08-12,7992
2019-08-13,10952
2019-08-14,10798
2019-08-15,10432
2019-08-16,9536
2019-08-17,9625
2019-08-18,8822
2019-08-19,7871
2019-08-20,11134
2019-08-21,10832
2019-08-22,10412
2019-08-23,9363
2019-08-24,9521
2019-08-25,8636
2019-08-26,7987
2019-08-27,11095
2019-08-28,10584
2019-08-29,10325
2019-08-30,8910
2019-08-31,8456
2019-09-01,9758
2019-09-02,6844
2019-09-03,8017
2019-09-04,11145
2019-09-05,10750
2019-09-06,9394
2019-09-07,9694
2019-09-08,9425
2019-09-09,7819
2019-09-10,11004
2019-09-11,10731
2019-09-12,10291
2019-09-13,9351
2019-09-14,9453
2019-09-15,9147
2019-09-16,7700
2019-09-17,10953
2019-09-18,10307
2019-09-19,10297
2019-09-20,8893
2019-09-21,8224
2019-09-22,9298
2019-09-23,7920
2019-09-24,10915
2019-09-25,10783
2019-09-26,10736
2019-09-27,8947
2019-09-28,9512
2019-09-29,8849
2019-09-30,7701
2019-10-01,11017
2019-10-02,10485
2019-10-03,10232
2019-10-04,9394
2019-10-05,9558
2019-10-06,8466
2019-10-07,7824
2019-10-08,10842
2019-10-09,10619
2019-10-10,10325
2019-10-11,9230
2019-10-12,7995
2019-10-13,9920
2019-10-14,7206
2019-10-15,7631
2019-10-16,10906
2019-10-17,10906
2019-10-18,9222
2019-10-19,9405
2019-10-20,8816
2019-10-21,7729
2019-10-22,10918
2019-10-23,10345
2019-10-24,10294
2019-10-25,9191
2019-10-26,9333
2019-10-27,8818
2019-10-28,7897
2019-10-29,10889
2019-10-30,10274
2019-10-31,10712
2019-11-01,62272
2019-11-02,8778
2019-11-03,9114
2019-11-04,8260
2019-11-05,10817
2019-11-06,10511
2019-11-07,10503
2019-11-08,9245
2019-11-09,8586
2019-11-10,10173
2019-11-11,7699
2019-11-12,8054
2019-11-13,10669
2019-11-14,10092
2019-11-15,9119
2019-11-16,7934
2019-11-17,9284
2019-11-18,7853
2019-11-19,10297
2019-11-20,10024
2019-11-21,10199
2019-11-22,9238
2019-11-23,8949
2019-11-24,8842
2019-11-25,7867
2019-11-26,9393
2019-11-27,10885
2019-11-28,9149
2019-11-29,4252
2019-11-30,6954
2019-12-01,8809
2019-12-02,7947
2019-12-03,9822
2019-12-04,9161
2019-12-05,10348
2019-12-06,8822
2019-12-07,9023
2019-12-08,8489
2019-12-09,7664
2019-12-10,9994
2019-12-11,9828
2019-12-12,9985
2019-12-13,8291
2019-12-14,9007
2019-12-15,8311
2019-12-16,7564
2019-12-17,9360
2019-12-18,9568
2019-12-19,9668
2019-12-20,8394
2019-12-21,8565
2019-12-22,8107
2019-12-23,6059
2019-12-24,10191
2019-12-25,7106
2019-12-26,5584
2019-12-27,8279
2019-12-28,9100
2019-12-29,9352
2019-12-30,7015
2019-12-31,11289
2020-01-01,9092
2020-01-02,8099
2020-01-03,14079
2020-01-04,10680
2020-01-05,9669
2020-01-06,8446
2020-01-07,11047
2020-01-08,10801
2020-01-09,10446
2020-01-10,9312
2020-01-11,10011
2020-01-12,9076
2020-01-13,7565
2020-01-14,10989
2020-01-15,10680
2020-01-16,10661
2020-01-17,9483
2020-01-18,8646
2020-01-19,9926
2020-01-20,7127
2020-01-21,8670
2020-01-22,11171
2020-01-23,10749
2020-01-24,9957
2020-01-25,10051
2020-01-26,9690
2020-01-27,8711
2020-01-28,11543
2020-01-29,11275
2020-01-30,11348
2020-01-31,9944
2020-02-01,10010
2020-02-02,9785
2020-02-03,8169
2020-02-04,11259
2020-02-05,10836
2020-02-06,10889
2020-02-07,9538
2020-02-08,8703
2020-02-09,9923
2020-02-10,8361
2020-02-11,11326
2020-02-12,10991
2020-02-13,11112
2020-02-14,9498
2020-02-15,8402
2020-02-16,10456
2020-02-17,8300
2020-02-18,8440
2020-02-19,11518
2020-02-20,11278
2020-02-21,9858
2020-02-22,9648
2020-02-23,9897
2020-02-24,8833
2020-02-25,11489
2020-02-26,11474
2020-02-27,11252
2020-02-28,9610
2020-02-29,9558
